,State_Name,District_Name,Crop,Population,Ratio,Per,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
49,Andhra Pradesh,ANANTAPUR,Potato,3639304,0.001,8.72,2687.262074,3006.0052,3004.61,3323.704,3321.96,3325.11664,3639.304,3960.435789,3956.651309,4270.9916,4274
50,Andhra Pradesh,ANANTAPUR,Sweet potato,3639304,0.00125,8.72,3359.077592,3757.504,3755.76,4154.63,4152.45,4156.3958,4549.13,4950.544736,4945.814136,5338.7395,5342.5
51,Andhra Pradesh,ANANTAPUR,Turmeric,3639304,0.0001875,8.72,503.8616388,563.6216,563.36,623.197,622.87,623.46187,682.3695,742.5817104,741.8721204,800.805925,801.37
52,Andhra Pradesh,ANANTAPUR,Other  Rabi pulses,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
53,Andhra Pradesh,ANANTAPUR,Soyabean,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
54,Andhra Pradesh,ANANTAPUR,Beans & Mutter(Vegetable),3639304,0.00075,8.72,2015.446555,2254.5064,2253.46,2492.778,2491.47,2493.83748,2729.478,2970.326842,2967.488482,3203.2437,3205.5
55,Andhra Pradesh,ANANTAPUR,Bhindi,3639304,0.00625,8.72,16795.38796,18787.53,18778.81,20773.13,20762.23,20781.959,22745.65,24752.72368,24729.07068,26693.6875,26712.49
56,Andhra Pradesh,ANANTAPUR,Brinjal,3639304,0.00075,8.72,2015.446555,2254.5064,2253.46,2492.778,2491.47,2493.83748,2729.478,2970.326842,2967.488482,3203.2437,3205.5
57,Andhra Pradesh,ANANTAPUR,Citrus Fruit,3639304,0.0005,8.72,1343.631037,1502.9976,1502.3,1661.852,1660.98,1662.55832,1819.652,1980.217894,1978.325654,2135.4958,2137
58,Andhra Pradesh,ANANTAPUR,Cucumber,3639304,0.003,8.72,8061.786221,9018.0156,9013.83,9971.102,9965.87,9975.33992,10917.912,11881.30737,11869.95393,12812.9748,12822
59,Andhra Pradesh,ANANTAPUR,Grapes,3639304,0.00075,8.72,2015.446555,2254.5064,2253.46,2492.778,2491.47,2493.83748,2729.478,2970.326842,2967.488482,3203.2437,3205.5
60,Andhra Pradesh,ANANTAPUR,Mango,3639304,0.001,8.72,2687.262074,3006.0052,3004.61,3323.704,3321.96,3325.11664,3639.304,3960.435789,3956.651309,4270.9916,4274
61,Andhra Pradesh,ANANTAPUR,Orange,3639304,0.0005,8.72,1343.631037,1502.9976,1502.3,1661.852,1660.98,1662.55832,1819.652,1980.217894,1978.325654,2135.4958,2137
62,Andhra Pradesh,ANANTAPUR,other fibres,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
63,Andhra Pradesh,ANANTAPUR,Other Fresh Fruits,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
64,Andhra Pradesh,ANANTAPUR,Other Vegetables,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
65,Andhra Pradesh,ANANTAPUR,Papaya,3639304,0.0005,8.72,1343.631037,1502.9976,1502.3,1661.852,1660.98,1662.55832,1819.652,1980.217894,1978.325654,2135.4958,2137
66,Andhra Pradesh,ANANTAPUR,Pome Fruit,3639304,0.001,8.72,2687.262074,3006.0052,3004.61,3323.704,3321.96,3325.11664,3639.304,3960.435789,3956.651309,4270.9916,4274
67,Andhra Pradesh,ANANTAPUR,Tomato,3639304,0.001,8.72,2687.262074,3006.0052,3004.61,3323.704,3321.96,3325.11664,3639.304,3960.435789,3956.651309,4270.9916,4274
68,Andhra Pradesh,ANANTAPUR,Rapeseed &Mustard,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
69,Andhra Pradesh,ANANTAPUR,Mesta,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
70,Andhra Pradesh,ANANTAPUR,Cowpea(Lobia),3639304,0.0005,8.72,1343.631037,1502.9976,1502.3,1661.852,1660.98,1662.55832,1819.652,1980.217894,1978.325654,2135.4958,2137
71,Andhra Pradesh,ANANTAPUR,other oilseeds,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
72,Andhra Pradesh,ANANTAPUR,Lemon,3639304,0.000225,8.72,604.6339666,676.35392,676.04,747.8324,747.44,748.150244,818.8434,891.0980525,890.2465445,960.97311,961.65
73,Andhra Pradesh,ANANTAPUR,Pome Granet,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
74,Andhra Pradesh,ANANTAPUR,Sapota,3639304,0.000375,8.72,1007.723278,1127.2532,1126.73,1246.384,1245.73,1246.91374,1364.739,1485.163421,1483.744241,1601.62185,1602.75
75,Andhra Pradesh,ANANTAPUR,Cabbage,3639304,0.0005,8.72,1343.631037,1502.9976,1502.3,1661.852,1660.98,1662.55832,1819.652,1980.217894,1978.325654,2135.4958,2137
76,Andhra Pradesh,ANANTAPUR,Cashewnut,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
77,Andhra Pradesh,CHITTOOR,Arhar/Tur,3735202,0.0005,8.72,1379.036578,1542.5876,1541.89,1705.622,1704.75,1706.32832,1867.601,2032.348047,2030.455807,2191.8058,2193.31
78,Andhra Pradesh,CHITTOOR,Bajra,3735202,0.000625,8.72,1723.795723,1928.232,1927.36,2132.02,2130.93,2132.9029,2334.50125,2540.435059,2538.069759,2739.75975,2741.64
79,Andhra Pradesh,CHITTOOR,Dry chillies,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
80,Andhra Pradesh,CHITTOOR,Groundnut,3735202,0.00075,8.72,2068.554868,2313.8864,2312.84,2558.428,2557.12,2559.48748,2801.4015,3048.522071,3045.683711,3287.7137,3289.97
81,Andhra Pradesh,CHITTOOR,Horse-gram,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
82,Andhra Pradesh,CHITTOOR,Jowar,3735202,0.000125,8.72,344.7591446,385.6444,385.47,426.408,426.19,426.58458,466.90025,508.0870118,507.6139518,547.95395,548.33
83,Andhra Pradesh,CHITTOOR,Maize,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
84,Andhra Pradesh,CHITTOOR,Moong(Green Gram),3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
85,Andhra Pradesh,CHITTOOR,Other Kharif pulses,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
86,Andhra Pradesh,CHITTOOR,Ragi,3735202,0.000125,8.72,344.7591446,385.6444,385.47,426.408,426.19,426.58458,466.90025,508.0870118,507.6139518,547.95395,548.33
87,Andhra Pradesh,CHITTOOR,Rice,3735202,0.00125,8.72,3447.591446,3856.474,3854.73,4264.05,4261.87,4265.8158,4669.0025,5080.870118,5076.139518,5479.5195,5483.28
88,Andhra Pradesh,CHITTOOR,Samai,3735202,0.000125,8.72,344.7591446,385.6444,385.47,426.408,426.19,426.58458,466.90025,508.0870118,507.6139518,547.95395,548.33
89,Andhra Pradesh,CHITTOOR,Sesamum,3735202,0.0015,8.72,4137.109735,4627.7628,4625.67,5116.856,5114.24,5118.97496,5602.803,6097.044142,6091.367422,6575.4174,6579.93
90,Andhra Pradesh,CHITTOOR,Sugarcane,3735202,0.000125,8.72,344.7591446,385.6444,385.47,426.408,426.19,426.58458,466.90025,508.0870118,507.6139518,547.95395,548.33
91,Andhra Pradesh,CHITTOOR,Sunflower,3735202,0.0015,8.72,4137.109735,4627.7628,4625.67,5116.856,5114.24,5118.97496,5602.803,6097.044142,6091.367422,6575.4174,6579.93
92,Andhra Pradesh,CHITTOOR,Castor seed,3735202,0.000625,8.72,1723.795723,1928.232,1927.36,2132.02,2130.93,2132.9029,2334.50125,2540.435059,2538.069759,2739.75975,2741.64
93,Andhra Pradesh,CHITTOOR,Korra,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
94,Andhra Pradesh,CHITTOOR,Urad,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
95,Andhra Pradesh,CHITTOOR,Cotton(lint),3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
96,Andhra Pradesh,CHITTOOR,Masoor,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
97,Andhra Pradesh,CHITTOOR,Gram,3735202,0.00075,8.72,2068.554868,2313.8864,2312.84,2558.428,2557.12,2559.48748,2801.4015,3048.522071,3045.683711,3287.7137,3289.97
98,Andhra Pradesh,CHITTOOR,Linseed,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
99,Andhra Pradesh,CHITTOOR,Onion,3735202,0.001,8.72,2758.073157,3085.1752,3083.78,3411.234,3409.49,3412.64664,3735.202,4064.696094,4060.911614,4383.6116,4386.62
100,Andhra Pradesh,CHITTOOR,Tobacco,3735202,0.00015,8.72,413.7109735,462.77928,462.57,511.6816,511.42,511.893496,560.2803,609.7044142,609.1367422,657.53874,657.99
101,Andhra Pradesh,CHITTOOR,Mesta,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
102,Andhra Pradesh,CHITTOOR,other misc. pulses,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
103,Andhra Pradesh,CHITTOOR,Small millets,3735202,0.0005,8.72,1379.036578,1542.5876,1541.89,1705.622,1704.75,1706.32832,1867.601,2032.348047,2030.455807,2191.8058,2193.31
104,Andhra Pradesh,CHITTOOR,Other  Rabi pulses,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
105,Andhra Pradesh,CHITTOOR,Rapeseed &Mustard,3735202,0.00025,8.72,689.5182892,771.2988,770.95,852.806,852.37,853.15916,933.8005,1016.174024,1015.227904,1095.9079,1096.66
106,Andhra Pradesh,CHITTOOR,Wheat,3735202,0.00075,8.72,2068.554868,2313.8864,2312.84,2558.428,2557.12,2559.48748,2801.4015,3048.522071,3045.683711,3287.7137,3289.97
107,Andhra Pradesh,CHITTOOR,Banana,3735202,0.00075,8.72,2068.554868,2313.8864,2312.84,2558.428,2557.12,2559.48748,2801.4015,3048.522071,3045.683711,3287.7137,3289.97
